Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
63,55326.34285229743,45857.01949753115,19971.304513955743,65828.3240114869,121154.66686378432,3683101.8726590434,130048853.88284177,13584016.326741084,5071631.278651503,148704501.48823437,53736456.32209545,94968045.16613892,72828000.0,22140045.166138917,28585473.44329226,0.6038981618542286,13370332.579200892,17262714.86813706
64,54827.8857480319,46117.93001544266,20068.80700284403,66186.73701828669,121014.6227663186,3678844.532096085,129898528.89049995,13568314.403276782,5065768.92069631,148532612.21447304,53674341.72328188,94858270.49119115,72828000.0,22030270.49119115,28468248.422359303,0.5991206893435417,13198790.843107125,17055916.6192071
65,54338.85081232935,46375.61517732843,20164.850006112923,66540.46518344135,120879.31599577072,3674731.20627143,129753289.00096169,13553143.634970289,5060104.871035759,148366537.50696772,53614328.29950016,94752209.20746756,72828000.0,21924209.207467556,28354988.818442553,0.5943810116880671,13031333.649195403,16853666.940309715
66,53858.96905985524,46630.16141877084,20259.475736481814,66889.63715525265,120748.6062151079,3670757.62893928,129612983.57479441,13538488.287053853,5054633.255049389,148206105.11689764,53556353.80622409,94649751.31067355,72828000.0,21821751.31067355,28245577.16131729,0.5896788298905681,12867824.77904095,16655818.890069332
67,53387.981723625046,46881.65164707589,20352.7246131588,67234.37626023468,120622.35798385972,3666919.6827093353,129477467.22859357,13524333.17376857,5049348.403090755,148051148.80545288,53500358.170729205,94550790.63472368,72828000.0,21722790.63472368,28139900.079465017,0.5850138473191916,12708133.323729003,16462231.208665455
68,52925.639772301496,47130.1654333613,20444.635361700057,67574.80079506135,120500.44056736284,3663213.39324783,129346599.6302236,13510663.636976648,5044244.8425022615,147901508.10970253,53446283.40748584,94455224.70221668,72828000.0,21627224.702216685,28037848.14040038,0.580385769688756,12552133.455027707,16272768.07338273
69,52471.70345467175,47375.77919164345,20535.245107027895,67911.02429867134,120382.72775334308,3659634.9237016295,129220245.30193506,13497465.525596352,5039317.289937144,147757028.11746857,53394073.53680678,94362954.58066179,72828000.0,21534954.58066179,27939315.69713965,0.5757943050421865,12399704.206887206,16087298.86518878
70,52025.94186953266,47618.566345970336,20624.5894601615,68243.15580613184,120269.0976756645,3656180.5693402006,129098273.43117476,13484725.175840529,5034560.643981456,147617559.25099674,53343674.50667353,94273884.74432321,72828000.0,21445884.74432321,27844200.740668565,0.5712391637320973,12250729.266842132,15905697.945888154
71,51588.13255934266,47858.597486550614,20712.70259916295,68571.30008571356,120159.43264505622,3652846.752409709,128980557.68888588,13472429.39223749,5029969.97806817,147482957.05919155,53295034.117657654,94187922.9415339,72828000.0,21359922.941533893,27752404.758250892,0.566720058402519,12105096.776899394,15727844.445406293
72,51158.0611261194,48095.94051574122,20799.6173447548,68895.55786049602,120053.61898661542,3649630.0171931083,128866976.0550818,13460565.429411624,5025540.533674911,147353082.01816833,53248101.95084745,94104980.06732088,72828000.0,21276980.067320883,27663832.597408816,0.5622367039707721,11962699.14350231,15553622.058766335
73,50735.52086817232,48330.66078467817,20885.365231024178,69216.02601570234,119951.54688387466,3646527.0252697896,128757410.65146618,13449120.97460004,5021267.713796501,147227799.3398627,53202829.29868623,94024970.04117647,72828000.0,21196970.041176468,27578392.335398614,0.557788817609482,11823432.856171435,15382918.852332393
