Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d)
47,64851.51336736823,41155.666590087305,18169.3280755859,59324.994665673206,124176.50803304143
48,64154.963500614176,41483.844048933286,18297.92264587479,59781.76669480807,123936.73019542225
49,63474.065586211545,41806.702018321994,18424.017617799593,60230.71963612159,123704.78522233313
50,62808.28959674682,42124.42657395596,18547.706476808115,60672.13305076408,123480.4226475109
51,62157.1293418576,42437.193920576276,18669.07759317348,61106.27151374976,123263.40085560735
52,61520.10113762213,42745.17108739374,18788.214587321556,61533.3856747153,123053.48681233742
53,60896.74256432855,43048.51656285875,18905.196663176088,61953.71322603484,122850.4557903634
54,60286.61130583756,43347.380875042836,19020.098912819412,62367.47978786225,122654.09109369981
55,59689.28406434271,43641.90712315826,19132.99259537711,62774.899718535366,122464.18378287807
56,59104.355544864826,43932.23146509528,19243.945392696674,63176.17685779196,122280.53240265678
57,58531.43750429861,44218.4835652959,19353.021644096738,63571.505209392635,122102.94271369124
58,57970.15786026584,44500.78700679372,19460.28256220701,63961.06956900073,121931.22742926657
59,57420.159855424485,44779.25967082413,19565.786431695567,64345.0461025197,121765.20595794418
60,56881.10127324151,45054.014087035706,19669.588792484174,64723.60287951988,121604.70415276139
61,56352.653701562704,45325.157757007415,19771.74260888043,65096.90036588785,121449.55406745055
62,55834.50184060893,45592.79345348925,19872.298425904617,65465.09187939386,121299.5937200028
63,55326.34285229743,45857.01949753115,19971.304513955743,65828.3240114869,121154.66686378432
64,54827.8857480319,46117.93001544266,20068.80700284403,66186.73701828669,121014.62276631859
65,54338.85081232935,46375.61517732843,20164.850006112923,66540.46518344135,120879.31599577071
66,53858.96905985524,46630.16141877084,20259.475736481818,66889.63715525265,120748.6062151079
67,53387.981723625046,46881.65164707589,20352.7246131588,67234.37626023468,120622.35798385972
68,52925.639772301496,47130.1654333613,20444.635361700057,67574.80079506135,120500.44056736285
69,52471.70345467175,47375.77919164345,20535.245107027895,67911.02429867134,120382.72775334309
70,52025.94186953266,47618.566345970336,20624.5894601615,68243.15580613184,120269.0976756645
71,51588.13255934266,47858.597486550614,20712.70259916295,68571.30008571356,120159.43264505622
72,51158.0611261194,48095.94051574122,20799.6173447548,68895.55786049602,120053.61898661542
73,50735.520868172316,48330.66078467817,20885.365231024174,69216.02601570234,119951.54688387466
74,50320.312436361295,48562.821221264814,20969.976571591058,69532.79779285587,119853.11022921716
75,49912.243508665204,48792.482450168725,21053.480521585116,69845.96297175385,119758.20648041906
76,49511.12848193045,49019.702905421975,21135.90513574528,70155.60804116726,119666.7365230977
77,49116.78817974875,49244.5389361678,21217.277422929183,70461.81635909699,119578.60453884574
78,48729.04957548617,49467.04490605121,21297.623397295098,70764.6683033463,119493.71787883248
79,48347.745529552536,49687.273286708674,21376.96812639685,71064.24141310553,119411.98694265806
80,47972.71454006296,49905.27474577474,21455.335776412227,71360.61052218697,119333.32506224993
81,47603.80050610008,50121.098229789,21532.74965470721,71653.84788449621,119257.6483905963
82,47240.852502839,50334.79104235584,21609.232249921886,71944.02329227774,119184.87579511674
83,46883.7245678458,50546.39891788115,21684.805269749057,72231.20418763021,119114.92875547601
84,46532.27549790594,50755.966091184644,21759.489676562822,72515.45576774747,119047.7312656534
85,46186.36865578123,50963.535363262985,21833.305721042187,72796.84108430517,118983.2097400864
86,45845.073625400226,51169.1481634577,21906.272973923376,73075.42113738108,118920.49476278131
87,45507.3257066362,51372.84460826246,21978.410356004315,73351.25496426677,118858.58067090297
88,45173.06232771459,51574.663556986496,22049.736166515297,73624.39972350179,118797.46205121638
89,44842.2250763715,51774.6426644749,22120.268109961362,73894.91077443626,118737.13585080775
90,44514.75713903755,51972.818431071435,22190.023321533918,74162.84175260535,118677.5988916429
91,44190.60324037154,52169.22624999614,22259.01839118214,74428.24464117829,118618.84788154982
92,43869.70958559692,52363.90045229752,22327.26938642787,74691.16983872539,118560.87942432231
93,43552.02380548996,52556.87434952743,22394.7918740019,74951.66622352933,118503.69002901929
94,43237.49490387785,52748.18027427667,22461.60094037379,75209.78121465046,118447.2761185283
95,42926.07320751319,52937.84961869919,22527.711211242407,75465.56082994159,118391.63403745479
96,42617.71031819979,53125.91287114429,22593.136870049522,75719.04974119381,118336.7600593936
97,42312.359067051926,53312.39965100771,22657.891675574712,75970.29132658243,118282.65039363437
98,42009.973470776364,53497.338741905216,22721.98897866549,76219.3277205707,118229.30119134707
99,41710.5086898727,53680.75812326503,22785.441738153233,76466.19986141825,118176.70855129095
100,41413.92098865419,53862.685000429265,22848.262536001886,76710.94753643115,118124.86852508533
101,41120.16769699621,54043.145833348484,22910.463591733343,76953.60942508183,118073.77712207804
102,40829.20717372572,54222.166363947894,22972.056776170524,77194.22314011841,118023.43031384413
103,40540.998771568986,54399.77164223876,23033.053624536442,77432.82526677521,117973.8240383442
104,40255.50280358078,54575.98605124377,23093.4653489451,77669.45140018887,117924.95420376965
105,39972.68051098136,54750.83333080089,23153.30285031774,77904.13618111864,117876.8166921
106,39692.49403233271,54924.3366003058,23212.57672975587,78136.91333006168,117829.40736239438
107,39414.90637398851,55096.51838044985,23271.297299400394,78367.81567985025,117782.72205383875
108,39139.88138175654,55267.400614006256,23329.47459280456,78596.87520681082,117736.75658856735
109,38867.38371371527,55437.004685714615,23387.11837484644,78824.12306056105,117691.50677427632
110,38597.37881412956,55605.35144131043,23444.238151205318,79049.58959251575,117646.96840664532
